en;ru;de;es;fr;it;ja;ko;pt;tr;zh
Cleaning the nozzle on rubber;Чистка насадки на резине;Reinigen der Düse auf Gummi;Limpiar la boquilla sobre goma.;Nettoyage de la buse sur caoutchouc;Pulizia dell'ugello sulla gomma;ゴム上のノズルの掃除;고무 노즐 청소;Limpando o bico em borracha;Kauçuk üzerindeki nozulun temizlenmesi;清洁橡胶上的喷嘴
Cut;Резать;Schneiden;Cortar;Couper;Taglio;カット;자르다;Corte;Kesmek;切
Cutting the filament;Резка нити;Schneiden des Filaments;Cortar el filamento;Couper le filament;Taglio del filamento;フィラメントの切断;필라멘트 절단;Cortando o filamento;Filamentin kesilmesi;切割灯丝
DIALOG:OFF;ДИАЛОГ:ВЫКЛ.;DIALOG:AUS;DIÁLOGO: APAGADO;DIALOGUE : OFF;DIALOGO:OFF;ダイアログ:オフ;대화상자:끄기;DIÁLOGO:DESLIGADO;DİYALOG:KAPALI;对话：关闭
DIALOG:ON;ДИАЛОГ:ВКЛ.;DIALOG:EIN;DIÁLOGO: ENCENDIDO;DIALOGUE :ON;DIALOGO:ON;ダイアログ:オン;대화상자:켜기;DIÁLOGO:ATIVADO;DİYALOG:AÇIK;对话：开
Disable LessWaste;Отключить Меньше отходов;Deaktivieren Sie LessWaste;Deshabilitar menos desperdicio;Désactiver Moins de déchets;Disabilita Meno rifiuti;LesWasteを無効にする;LessWest 비활성화;Desativar menos desperdício;LessWaste'ı devre dışı bırak;禁用减少浪费
Enable DISPLAY_OFF;Включить DISPLAY_OFF;Aktivieren Sie DISPLAY_OFF;Habilitar DISPLAY_OFF;Activer DISPLAY_OFF;Abilita DISPLAY_OFF;DISPLAY_OFFを有効にする;DISPLAY_OFF 활성화;Ativar DISPLAY_OFF;DISPLAY_OFF'u etkinleştir;启用 DISPLAY_OFF
Error;Ошибка;Fehler;Error;Erreur;Errore;エラー;오류;Erro;Hata;错误
Error! Filename not specified.;Ошибка! Имя файла не указано.;Fehler! Dateiname nicht angegeben.;¡Error! Nombre de archivo no especificado.;Erreur! Nom de fichier non spécifié.;Errore! Nome file non specificato.;エラー！ファイル名が指定されていません。;오류! 파일 이름이 지정되지 않았습니다.;Erro! Nome do arquivo não especificado.;Hata! Dosya adı belirtilmedi.;错误！未指定文件名。
Extruder filament sensor triggered, not expected. Check if filament is cut...;Датчик нити экструдера сработал, но не ожидалось. Проверьте, не порезана ли нить...;Extruder-Filamentsensor hat ausgelöst, nicht erwartet. Überprüfen Sie, ob das Filament abgeschnitten ist...;Sensor de filamento del extrusor activado, no esperado. Compruebe si el filamento está cortado...;Le capteur de filament de l’extrudeuse s’est déclenché, ce qui n’est pas prévu. Vérifiez si le filament est coupé...;Sensore del filamento dell'estrusore attivato, non previsto. Controlla se il filamento è tagliato...;エクストルーダーのフィラメントセンサーがトリガーされましたが、予期せぬものでした。フィラメントが切れていないか確認してください...;압출기 필라멘트 센서가 작동했지만 예상되지 않았습니다. 필라멘트가 끊어졌는지 확인하세요..;Sensor de filamento da extrusora acionado, não esperado. Verifique se o filamento está cortado...;Ekstruder filaman sensörü tetiklendi, beklenmiyor. Filamentin kesilip kesilmediğini kontrol edin...;挤出机灯丝传感器已触发，不是预期的。检查灯丝是否被切断...
Filament run out in the IFS;В IFS закончилась нить накаливания.;Das Filament im IFS ist aufgebraucht;Se acabó el filamento en el IFS;Filament épuisé dans l'IFS;Filamento esaurito nell'IFS;IFS でのフィラメント切れ;IFS에서 필라멘트가 부족합니다.;Filamento acabou no IFS;IFS'de filament bitti;IFS 中的灯丝耗尽
Go to trash;Перейти в корзину;Gehen Sie in den Papierkorb;ir a la basura;Aller à la poubelle;Vai nel cestino;ゴミ箱に行く;휴지통으로 이동;Vá para o lixo;Çöp kutusuna git;去垃圾箱
HIDE FUTURE MESSAGES;СКРЫТЬ БУДУЩИЕ СООБЩЕНИЯ;ZUKÜNFTIGE NACHRICHTEN AUSBLENDEN;OCULTAR MENSAJES FUTUROS;MASQUER LES FUTURS MESSAGES;NASCONDI MESSAGGI FUTURI;今後のメッセージを非表示にする;향후 메시지 숨기기;OCULTAR MENSAGENS FUTURAS;GELECEKTEKİ MESAJLARI GİZLE;隐藏未来消息
Heating the nozzle to {extruder_temp} degrees;Нагрев сопла до {extrumer_temp} градусов;Erhitzen der Düse auf {extruder_temp} Grad;Calentar la boquilla a {extruder_temp} grados;Chauffer la buse à {extruder_temp} degrés;Riscaldare l'ugello a {extruder_temp} gradi;ノズルを {extruder_temp} 度に加熱します;노즐을 {extruder_temp}도까지 가열;Aquecendo o bico a {extruder_temp} graus;Memeyi {extruder_temp} dereceye kadar ısıtmak;将喷嘴加热至 {extruder_temp} 度
IFS Port;IFS-порт;IFS-Port;Puerto IFS;Port IFS;Porto IFS;IFSポート;IFS 포트;Porta IFS;IFS Bağlantı Noktası;IFS端口
IFS:OFF;IFS: ВЫКЛ.;IFS:AUS;IFS: APAGADO;IFS:OFF;SE:OFF;IFS:オフ;IFS:꺼짐;SE: DESLIGADO;IFS:KAPALI;IFS：关闭
IFS:ON;IFS:ВКЛ.;IFS:EIN;SI: ENCENDIDO;IFS : ON;SE:ON;IFS:オン;IFS:ON;SE:LIGADO;IFS:AÇIK;IFS：开
If a Jam, look for a knot in the filament spool or similar. If out of filament, load new filament in the same port all the way to the hard stop. Press 'Resume printing' when ready to continue;В случае застревания поищите узел на катушке с нитью или в чем-то подобном. Если закончилась нить, загрузите новую нить в тот же порт до упора. Нажмите «Возобновить печать», когда будете готовы продолжить.;Wenn es zu einem Stau kommt, suchen Sie nach einem Knoten in der Filamentspule oder ähnlichem. Wenn kein Filament mehr vorhanden ist, laden Sie neues Filament bis zum Anschlag in denselben Anschluss ein. Klicken Sie auf „Drucken fortsetzen“, wenn Sie zum Fortfahren bereit sind;En caso de atasco, busque un nudo en el carrete de filamento o similar. Si se acaba el filamento, cargue un filamento nuevo en el mismo puerto hasta el tope. Presione 'Reanudar impresión' cuando esté listo para continuar;En cas de bourrage, recherchez un nœud dans la bobine de filament ou similaire. S'il n'y a plus de filament, chargez un nouveau filament dans le même port jusqu'à la butée. Appuyez sur « Reprendre l'impression » lorsque vous êtes prêt à continuer.;"Se si verifica un inceppamento, cercare un nodo nella bobina del filamento o qualcosa di simile. Se il filamento è esaurito, caricare il nuovo filamento nella stessa porta fino all'arresto. Premere ""Riprendi stampa"" quando si è pronti per continuare";詰まりの場合は、フィラメント スプールなどの結び目を探してください。フィラメントがなくなった場合は、新しいフィラメントを同じポートにハードストップまでロードします。続行する準備ができたら「印刷を再開」を押してください;용지가 걸린 경우 필라멘트 스풀이나 이와 유사한 매듭이 있는지 찾아보세요. 필라멘트가 부족한 경우 동일한 포트에 새 필라멘트를 끝까지 로드하십시오. 계속할 준비가 되면 '인쇄 재개'를 누르세요.;Se for um atolamento, procure um nó no carretel do filamento ou similar. Se estiver sem filamento, carregue o novo filamento na mesma porta até a parada brusca. Pressione 'Retomar impressão' quando estiver pronto para continuar;Sıkışma varsa filaman makarasında veya benzeri bir düğüm olup olmadığına bakın. Filament bittiyse, yeni filamanı aynı bağlantı noktasına sonuna kadar yükleyin. Devam etmeye hazır olduğunuzda 'Yazdırmaya devam et'e basın;如果发生堵塞，请检查细丝线轴或类似物中是否有结。如果灯丝用完，请在同一端口加载新灯丝，直至硬停止。准备好继续时按“恢复打印”
If needed, manually push the filaments back to the ready position at 4-1;При необходимости вручную верните нити в готовое положение (4-1).;Schieben Sie die Filamente bei Bedarf manuell zurück in die Bereitschaftsposition bei 4-1;Si es necesario, empuje manualmente los filamentos a la posición lista en 4-1;Si nécessaire, repoussez manuellement les filaments vers la position prête à 4-1.;Se necessario, riportare manualmente i filamenti nella posizione pronta su 4-1;必要に応じて、フィラメントを手動で 4-1 の準備完了位置に押し戻します。;필요한 경우 필라멘트를 4-1의 준비 위치로 수동으로 밀어 넣습니다.;Se necessário, empurre manualmente os filamentos de volta para a posição pronta em 4-1;Gerekirse filamentleri manuel olarak 4-1'deki hazır konumuna geri itin.;如果需要，手动将灯丝推回到 4-1 处的准备位置
It is not possible to print until all the filament is loaded.;Печать невозможна, пока не будет загружена вся нить.;Es ist nicht möglich zu drucken, bis das gesamte Filament geladen ist.;No es posible imprimir hasta que esté cargado todo el filamento.;Il n'est pas possible d'imprimer tant que tout le filament n'est pas chargé.;Non è possibile stampare finché non viene caricato tutto il filamento.;すべてのフィラメントがロードされるまでは印刷できません。;필라멘트가 모두 장착될 때까지 출력이 불가능합니다.;Não é possível imprimir até que todo o filamento esteja carregado.;Filamentin tamamı yüklenene kadar yazdırmak mümkün değildir.;在加载所有耗材之前，无法进行打印。
Jam detected (Motion);Обнаружено застревание (движение);Stau erkannt (Bewegung);Atasco detectado (movimiento);Bourrage détecté (Mouvement);Rilevato inceppamento (movimento);ジャムを検出しました (モーション);걸림이 감지되었습니다(동작).;Atolamento detectado (movimento);Sıkışma algılandı (Hareket);检测到卡纸（运动）
Jam detected loading filament;Обнаружено застревание нити при загрузке;Beim Laden des Filaments wurde ein Stau festgestellt;Atasco detectado cargando filamento;Bourrage détecté lors du chargement du filament;Rilevato inceppamento del filamento durante il caricamento;フィラメントの読み込み中に詰まりが検出されました;필라멘트 로딩 중 용지 걸림이 감지되었습니다.;Atolamento detectado carregando filamento;Filaman yüklenirken sıkışma algılandı;检测到加载灯丝堵塞
LEVELING:OFF;ВЫРАВНИВАНИЕ: ВЫКЛ.;NIVELLIERUNG: AUS;NIVELACIÓN: APAGADO;NIVELLEMENT : OFF;LIVELLAMENTO: DISATTIVATO;レベリング:オフ;레벨링:꺼짐;NIVELAMENTO: DESLIGADO;TESVİYE:KAPALI;调平：关
LEVELING:ON;ВЫРАВНИВАНИЕ:ВКЛ.;NIVELLIERUNG: EIN;NIVELACIÓN: ENCENDIDO;NIVELLEMENT : ON;LIVELLAMENTO:ON;レベリング:オン;레벨링:ON;NIVELAMENTO:LIGADO;TESVİYE:AÇIK;调平：开
LINK;СВЯЗЬ;LINK;ENLACE;LIEN;COLLEGAMENTO;リンク;링크;LINK;BAĞLANTI;关联
L_PURGE:OFF;L_PURGE: ВЫКЛ.;L_PURGE:AUS;L_PURGE: APAGADO;L_PURGE : NON;L_SPURGO: DISATTIVATO;L_パージ:オフ;L_PURGE:꺼짐;L_PURGE:DESLIGADO;L_TEMİZLEME:KAPALI;L_PURGE：关闭
L_PURGE:ON;L_PURGE:ВКЛ.;L_PURGE:EIN;L_PURGA: ENCENDIDO;L_PURGE : ON;L_SPURGO:ON;L_パージ:オン;L_PURGE:ON;L_PURGE:ON;L_TEMİZLEME:AÇIK;L_PURGE：开
LessWaste does not work with the native screen, it requires (DISPLAY_OFF);LessWaste не работает с родным экраном, требует (DISPLAY_OFF);LessWaste funktioniert nicht mit dem nativen Bildschirm, es erfordert (DISPLAY_OFF);LessWaste no funciona con la pantalla nativa, requiere (DISPLAY_OFF);LessWaste ne fonctionne pas avec l'écran natif, cela nécessite (DISPLAY_OFF);LessWaste non funziona con la schermata nativa, richiede (DISPLAY_OFF);LessWaste はネイティブ画面では機能しません。(DISPLAY_OFF) が必要です;LessWaste는 기본 화면에서 작동하지 않으며 (DISPLAY_OFF)가 필요합니다.;LessWaste não funciona com a tela nativa, requer (DISPLAY_OFF);LessWaste yerel ekranla çalışmaz, (DISPLAY_OFF) gerektirir;LessWaste 不适用于本机屏幕，它需要 (DISPLAY_OFF)
Loading filament;Загрузка нити;Filament wird geladen;Cargando filamento;Chargement du filament;Caricamento del filamento;フィラメントの装填中;필라멘트 로딩;Carregando filamento;Filament yükleniyor;加载灯丝
Loading filament at;Загрузка нити в;Laden des Filaments bei;Cargando filamento en;Chargement du filament à;Caricamento del filamento a;フィラメントをロードしています;필라멘트 로드 위치;Carregando o filamento em;Filament yükleniyor;加载灯丝于
MD5 check failed. Print canceled.;Проверка MD5 не удалась. Печать отменена.;MD5-Prüfung fehlgeschlagen. Druck abgebrochen.;La comprobación MD5 falló. Impresión cancelada.;La vérification MD5 a échoué. Impression annulée.;Il controllo MD5 non è riuscito. Stampa annullata.;MD5チェックに失敗しました。印刷がキャンセルされました。;MD5 확인에 실패했습니다. 인쇄가 취소되었습니다.;A verificação MD5 falhou. Impressão cancelada.;MD5 kontrolü başarısız oldu. Yazdırma iptal edildi.;MD5检查失败。打印已取消。
One of the filaments is gripped by the extruder so we extrude;Одна из нитей захватывается экструдером, поэтому мы экструдируем;Eines der Filamente wird vom Extruder erfasst und wir extrudieren;Uno de los filamentos es agarrado por el extrusor por lo que extruimos;Un des filaments est saisi par l'extrudeur donc on extrude;Uno dei filamenti viene afferrato dall'estrusore quindi estrudiamo;フィラメントの 1 つが押出機によって掴まれているので、押し出します。;필라멘트 중 하나가 압출기에 의해 고정되어 압출됩니다.;Um dos filamentos é agarrado pela extrusora, então extrudamos;Filamentlerden biri ekstruder tarafından tutuluyor, böylece ekstrüzyon yapıyoruz;其中一根细丝被挤出机夹住，因此我们挤出
One of the filaments is gripped by the extruder, retract 45mm on all to search for culprit...;Одна из нитей зажата экструдером, оттягиваем все на 45 мм для поиска виновника...;Eines der Filamente wird vom Extruder erfasst, es wird insgesamt um 45 mm zurückgezogen, um nach dem Übeltäter zu suchen ...;Uno de los filamentos es agarrado por el extrusor, retraiga 45 mm en todos para buscar al culpable...;Un des filaments est saisi par l'extrudeur, rétracte 45mm sur l'ensemble pour rechercher le coupable...;Uno dei filamenti viene afferrato dall'estrusore, ritrarli tutti di 45 mm per cercare il colpevole...;フィラメントの 1 つをエクストルーダーで掴み、すべてを 45 mm 後退させて犯人を探します...;필라멘트 중 하나가 압출기에 의해 고정되어 범인을 찾기 위해 모두 45mm 후퇴합니다...;Um dos filamentos é agarrado pela extrusora, retrai 45mm em todos para procurar o culpado...;Filamentlerden biri ekstruder tarafından tutuluyor, suçluyu aramak için tamamı 45 mm geri çekiliyor...;其中一根细丝被挤出机夹住，全部收缩 45 毫米以寻找罪魁祸首......
Pause during loading;Пауза во время загрузки;Pause während des Ladens;Pausa durante la carga;Pause pendant le chargement;Pausa durante il caricamento;ロード中に一時停止する;로딩 중 일시중지;Pausa durante o carregamento;Yükleme sırasında duraklat;加载期间暂停
Pause during printing;Пауза во время печати;Pause während des Druckens;Pausa durante la impresión;Pause pendant l'impression;Pausa durante la stampa;印刷中に一時停止する;인쇄 중 일시 중지;Pausa durante a impressão;Yazdırma sırasında duraklat;打印期间暂停
Post-tool change in RESUME;После смены инструмента в RESUME;Nach dem Werkzeugwechsel in RESUME;Cambio post-herramienta en RESUME;Changement d'outil post-dans RESUME;Modifica post-utensile in RESUME;RESUME でのツール変更後の;RESUME의 도구 변경 후;Mudança pós-ferramenta em RESUME;DEVAM'da araç sonrası değişiklik;RESUME 中的工具更换后
Pre RESUME_BASE;Предварительно RESUME_BASE;Vor RESUME_BASE;Antes de RESUME_BASE;Pré RESUME_BASE;Prima di RESUME_BASE;RESUME_BASE 前;RESUME_BASE 이전;Pré RESUME_BASE;RESUME_BASE öncesi;预RESUME_BASE
Pre-tool change in RESUME;Предварительная смена инструмента в RESUME;Werkzeugwechsel vorab in RESUME;Cambio de herramienta previa en RESUME;Changement de pré-outil dans RESUME;Modifica pre-utensile in RESUME;RESUME でのツール変更前;RESUME의 사전 도구 변경;Mudança pré-ferramenta em RESUME;DEVAM'da ön takım değişikliği;RESUME 中的预换工具
Preprint actions...;Действия по препринту...;Preprint-Aktionen...;Acciones de preimpresión...;Actions de préimpression...;Azioni di prestampa...;プレプリントアクション...;사전 인쇄 작업...;Ações de pré-impressão...;Baskı öncesi işlemler...;预印本行动...
Print;Распечатать;Drucken;Imprimir;Imprimer;Stampa;印刷する;인쇄;Imprimir;Yazdır;打印
Processing;Обработка;Verarbeitung;Tratamiento;Traitement;Elaborazione;処理;처리;Processamento;İşleme;加工
Reinstalling lessWaste...;Переустановка lessWaste...;lessWaste wird neu installiert...;Reinstalar lessWaste...;Réinstallation de lessWaste...;Reinstallazione di lessWaste...;廃棄物を減らして再インストールしています...;lessWaste를 다시 설치하는 중...;Reinstalando menos desperdício...;lessWaste yeniden yükleniyor...;重新安装减少浪费...
Run out filament (Head);Закончилась нить накала (головка);Filament ausgegangen (Kopf);Se acabó el filamento (Cabeza);Filament épuisé (tête);Filamento esaurito (testa);フィラメント切れ（ヘッド）;필라멘트 부족(헤드);Acabou o filamento (Cabeça);Filament bitti (Kafa);用完灯丝（头）
Start print;Начать печать;Drucken starten;Iniciar impresión;Démarrer l'impression;Avvia la stampa;印刷を開始する;인쇄 시작;Iniciar impressão;Yazdırmayı başlat;开始打印
Started MD5 check;Запустил проверку MD5.;MD5-Prüfung gestartet;Comprobación MD5 iniciada;Vérification MD5 démarrée;Avviato il controllo MD5;MD5チェックを開始しました;MD5 확인을 시작했습니다.;Verificação MD5 iniciada;MD5 kontrolü başlatıldı;开始MD5检查
The BACKUP function is only possible with IFS enabled.;Функция BACKUP возможна только при включенной IFS.;Die BACKUP-Funktion ist nur bei aktiviertem IFS möglich.;La función BACKUP solo es posible con IFS habilitado.;La fonction BACKUP n'est possible qu'avec IFS activé.;La funzione BACKUP è possibile solo con IFS abilitato.;BACKUP 機能は、IFS が有効な場合にのみ可能です。;BACKUP 기능은 IFS가 활성화된 경우에만 가능합니다.;A função BACKUP só é possível com o IFS habilitado.;YEDEKLEME işlevi yalnızca IFS etkinleştirildiğinde mümkündür.;BACKUP 功能仅在启用 IFS 的情况下才可用。
The information dialogs have been hidden;Информационные диалоги были скрыты;Die Informationsdialoge wurden ausgeblendet;Los cuadros de diálogo de información se han ocultado.;Les boîtes de dialogue d'information ont été masquées;Le finestre di dialogo delle informazioni sono state nascoste;情報ダイアログが非表示になりました;정보 대화 상자가 숨겨졌습니다.;As caixas de diálogo de informações foram ocultadas;Bilgi diyalogları gizlendi;信息对话框已隐藏
The information dialogs will be displayed;Отобразятся информационные диалоги.;Die Informationsdialoge werden angezeigt;Se mostrarán los cuadros de diálogo de información.;Les boîtes de dialogue d'information s'afficheront;Verranno visualizzate le finestre di dialogo delle informazioni;情報ダイアログが表示されます;정보 대화 상자가 표시됩니다;As caixas de diálogo de informações serão exibidas;Bilgi diyalogları görüntülenecektir;将显示信息对话框
This is a multicolor printing, IFS cannot be disabled.;Это многоцветная печать, IFS отключить нельзя.;Da es sich um einen Mehrfarbendruck handelt, kann IFS nicht deaktiviert werden.;Esta es una impresión multicolor, IFS no se puede desactivar.;Il s'agit d'une impression multicolore, IFS ne peut pas être désactivé.;Questa è una stampa multicolore, IFS non può essere disabilitato.;これは多色印刷なので、IFS を無効にすることはできません。;이는 다중 색상 인쇄이므로 IFS를 비활성화할 수 없습니다.;Esta é uma impressão multicolorida, o IFS não pode ser desativado.;Bu çok renkli bir baskıdır, IFS devre dışı bırakılamaz.;这是多色打印，无法禁用 IFS。
Timeout ignored because printer state == paused.;Тайм-аут игнорируется, поскольку состояние принтера == приостановлено.;Zeitüberschreitung ignoriert, da Druckerstatus == angehalten.;Se ignoró el tiempo de espera porque el estado de la impresora == en pausa.;Délai d'expiration ignoré car l'état de l'imprimante == en pause.;Timeout ignorato perché lo stato della stampante == in pausa.;プリンターの状態 == 一時停止しているため、タイムアウトは無視されました。;프린터 상태 == 일시 중지되었기 때문에 시간 초과가 무시되었습니다.;Tempo limite ignorado porque o estado da impressora == pausado.;Yazıcı durumu == duraklatıldığı için zaman aşımı göz ardı edildi.;超时被忽略，因为打印机状态 == 已暂停。
Trash Y;Мусор Y;Müll Y;basura y;Corbeille Y;Cestino Y;ゴミY;쓰레기 Y;Lixo Y;Çöp Kutusu Y;垃圾Y
Unloading filament;Разгрузка нити;Filament entladen;Descarga de filamento;Déchargement du filament;Scaricamento del filamento;フィラメントのアンロード;필라멘트 언로딩;Descarregando filamento;Filamentin boşaltılması;卸料丝
Unloading filament at;Выгрузка нити на;Entladen des Filaments bei;Descarga de filamento en;Déchargement du filament à;Scaricamento del filamento a;フィラメントをアンロードしています;필라멘트 언로드 위치;Descarregando o filamento em;Filamentin boşaltılması;卸载灯丝
Update 'Filament change gcode' to;Обновите «gcode замены нити» на;Aktualisieren Sie „Filament-Change-Gcode“ auf;Actualice 'Gcode de cambio de filamento' a;Mettre à jour « Gcode de changement de filament » vers;"Aggiorna ""Gcode modifica filamento"" a";「フィラメント変更 gcode」を次のように更新します。;'필라멘트 변경 gcode'를 다음으로 업데이트하세요.;Atualize 'gcode de mudança de filamento' para;'Filament değişikliği gcode'unu şu şekilde güncelleyin:;将“灯丝更改 gcode”更新为
Update Filament change gcode to;Обновите gcode изменения Filament на;Aktualisieren Sie den Filament-Änderungs-Gcode auf;Actualizar filamento cambiar gcode a;Mettre à jour le filament, changer le gcode en;Aggiorna Filamento cambia gcode in;フィラメントを更新して gcode を次のように変更します;필라멘트 변경 gcode를 다음으로 업데이트하세요.;Atualize o gcode de alteração do Filament para;Filament değişikliğini gcode olarak güncelleyin;更新灯丝将 gcode 更改为
Wait;Ждать;Warten;Esperar;Attendez;Aspettare;待って;기다리다;Espere;Beklemek;等待
Z-Offset (KAMP):;Z-смещение (KAMP):;Z-Offset (KAMP):;Desplazamiento Z (KAMP):;Décalage Z (KAMP) :;Offset Z (KAMP):;Z オフセット (KAMP):;Z 오프셋(KAMP):;Deslocamento Z (KAMP):;Z-Ofseti (KAMP):;Z 偏移 (KAMP)：
Z-Offset:;Z-смещение:;Z-Versatz:;Desplazamiento Z:;Décalage Z :;Offset Z:;Z オフセット:;Z 오프셋:;Deslocamento Z:;Z-Ofseti:;Z 轴偏移：
_START_lessWaste ...;_START_меньше отходов...;_START_lessWaste ...;_START_lessResiduos...;_START_lessWaste...;_START_meno rifiuti...;_START_less無駄なもの ...;_START_less폐기물 ...;_START_menosDesperdício...;_START_daha azAtık...;_START_减少浪费...
_START_lessWaste completed.;_START_lessWaste завершено.;_START_lessWaste abgeschlossen.;_START_lessWaste completado.;_START_lessWaste terminé.;_START_lessWaste completato.;_START_less廃棄が完了しました。;_START_less폐기물이 완료되었습니다.;_START_lessResíduos concluídos.;_START_lessAtık tamamlandı.;_START_less浪费已完成。
at;в;bei;en;à;A;で;~에;no;en;在
detected;обнаружен;erkannt;detectado;détecté;rilevato;検出されました;감지됨;detectado;saptanmış;检测到
empty, please insert filament, pausing...;пусто, вставьте нить накаливания, пауза...;leer, bitte Filament einlegen, Pause...;vacío, por favor inserte el filamento, haciendo una pausa...;vide, veuillez insérer le filament, en pause...;vuoto, inserire il filamento, fare pausa...;空です。フィラメントを挿入してください。一時停止しています...;비어 있습니다. 필라멘트를 삽입하십시오. 일시중지 중...;vazio, insira o filamento, pausando...;boş, lütfen filamanı takın, duraklatın...;空，请插入灯丝，暂停...
for;для;für;para;pour;per;のために;~을 위한;para;için;为了
no backup alternative has been found, pausing...;резервная альтернатива не найдена, пауза...;Es wurde keine Backup-Alternative gefunden, pausiert...;no se ha encontrado ninguna alternativa de copia de seguridad, pausando...;aucune alternative de sauvegarde n'a été trouvée, en pause...;nessuna alternativa di backup trovata, in pausa...;代替バックアップが見つからないため、一時停止しています...;대체 백업을 찾을 수 없습니다. 일시중지합니다...;nenhuma alternativa de backup foi encontrada, pausando...;yedekleme alternatifi bulunamadı, duraklatılıyor...;尚未找到备份替代方案，暂停...
pausing...;пауза...;pausieren...;pausando...;pause...;facendo una pausa...;一時停止中...;일시중지 중...;pausando...;duraklatılıyor...;暂停...
reset;перезагрузить;zurücksetzen;reiniciar;réinitialiser;reset;リセット;다시 놓기;reiniciar;sıfırlama;重置
to determine which one it is ...;чтобы определить, какой именно...;um festzustellen, um welches es sich handelt ...;para determinar cual es...;pour déterminer lequel il s'agit...;per determinare quale sia...;それがどれであるかを判断するには...;그것이 어느 것인지 결정하기 위해 ...;para determinar qual é...;hangisi olduğunu belirlemek için...;以确定它是哪一个...
Update 'Filament change gcode';Обновить «gcode замены нити»;Aktualisieren Sie „Filament-Änderungs-Gcode“;Actualización 'Gcode de cambio de filamento';Mettre à jour 'Gcode de changement de filament';Aggiornamento 'Gcode modifica filamento';「フィラメント変更 gcode」を更新;'필라멘트 변경 gcode' 업데이트;Atualizar 'gcode de mudança de filamento';'Filament değişikliği gcode' güncellemesini yapın;更新“灯丝更改 gcode”
Same filament detected, skipping same purge. To purge in the future, type;Обнаружена та же нить, пропускается та же продувка. Чтобы очистить в будущем, введите;Gleiches Filament erkannt, gleiche Spülung übersprungen. Um in Zukunft zu löschen, geben Sie ein;Se detectó el mismo filamento, omitiendo la misma purga. Para purgar en el futuro, escriba;Même filament détecté, sautant la même purge. Pour purger ultérieurement, tapez;Stesso filamento rilevato, stesso spurgo saltato. Per eliminare in futuro, digitare;同じフィラメントが検出され、同じパージがスキップされました。将来的にパージするには、次のように入力します;동일한 필라멘트가 감지되어 동일한 퍼지를 건너뜁니다. 나중에 제거하려면 다음을 입력하십시오.;O mesmo filamento detectado, ignorando a mesma purga. Para limpar no futuro, digite;Aynı temizleme işlemi atlanarak aynı filaman algılandı. Gelecekte temizlemek için şunu yazın:;检测到相同的灯丝，跳过相同的清除。要在将来清除，请输入
